vid,patente
0,ZX2922
1,PM8536
2,VC7492
3,LS5992
4,PJ5481
5,LX6914
6,EH9187
7,ST8633
8,EY2745
9,LA5643
10,AU5998
11,ET5609
12,MO4425
13,BY5212
14,EG8528
15,QD4440
16,VX5561
17,VT6220
18,XK7318
19,WW2485
20,HV2199
21,ID7819
22,QA2495
23,WF7217
24,BN4195
25,UW2735
26,EF7582
27,OT5458
28,YN4644
29,FS3778
30,VW7522
31,VI4743
32,OJ8771
33,OC4762
34,XN4914
35,XP9141
36,EX4705
37,BJ4245
38,RH8308
39,YP3858
40,AL8743
41,KM2551
42,EI5702
43,RJ2733
44,YG2900
45,TO8113
46,HE7029
47,HB3228
48,OF5956
49,SG9128
50,GO7311
51,PM7495
52,GS7205
53,PU5101
54,VP2429
55,MO4968
56,BI5654
57,YB8271
58,VT2032
59,MU6547
60,IW2489
61,IG9597
62,AU6167
63,JD8184
64,RK2324
65,LN6036
66,PZ3477
67,GM1638
68,CI3218
69,UH6836
70,QJ6353
71,LW4637
72,SL2391
73,PP3724
74,QL4591
75,BF7024
76,QI7769
77,FM3163
78,NX3376
79,XG7925
80,KY2131
81,MW6341
82,FU8868
83,UH1378
84,GT9752
85,OB9598
86,VR7517
87,GF5994
88,HF1544
89,AI2283
90,KC2936
91,MN1612
92,OR9516
93,OE1789
94,WD8846
95,MZ9845
96,RV9799
97,IV2746
98,TJ7818
99,OF1501
100,BY4314
101,AM9504
102,ZV9679
103,SV9482
104,UL8619
105,LF8633
106,PR9667
107,MZ2239
108,WI9449
109,XG4556
110,HW2014
111,BZ3311
112,BB5259
113,WC8293
114,RY9242
115,OM4230
116,AL1557
